ISBN,Titolo,Sottotitolo,Autore,Formato,"Numero di pagine",Editore,"Data di pubblicazione","Note private","Titolo Commento","Contenuto Commento","Stato di lettura",Voto,Tags
[9780393542134],"Ten Lessons for a Post-pandemic World",,"Fareed Zakaria",Paperback,307,"W. W. Norton & Company",[2020-xx-xx],,"dieci lezioni","1) Allacciati la cintura di sicurezza 2) Migliora la qualità del governo 3) Il mercato non fa sempre la felicità 4) Gli esperti e le persone comuni devono rispettarsi reciprocamente 5) Il mondo digitale è qua per rimanere 6) Siamo animali sociali 7) L'ineguaglianza peggiorerà 8) La globalizzazione non è morta 9) il mondo sta diventando bipolare 10) Il liberalismo è anche idealista","Finito nel 8 dic 2020, 00:00:00",4,
[9788807888045],"Una teoria della giustizia",,"John Rawls",Paperback,574,"Feltrinelli (Universale Economica 8804)",[2017-03-xx],,,,"In lettura dal 21 gen 2021, 00:00:00",,
[9781250108593],"Ivory Vikings","The Mystery of the Most Famous Chessmen in the World and the Woman Who Made Them","Nancy Marie Brown",Paperback,280,"St. Martin's Griffin",[2015-xx-xx],,,,,,
[9788890508202],"Il Medioevo - Vol. 1","Barbari, Cristiani, Musulmani",,Hardcover,710,"Encyclomedia Publishers",[2010-10-01],,,,,,
[9788833929019],Superintelligenza,"Tendenze, pericoli, strategie","Nick Bostrom",Paperback,522,"Bollati Boringhieri",[2018-01-11],,,,,,
[9788815130433],"Gli unni",,"Timo Stickler",Others,,"Il Mulino",[xxxx-xx-xx],,,,"Finito nel 24 dic 2020, 00:00:00",3,
[9788806241841],"Macchine come me","E persone come voi","Ian McEwan",Hardcover,281,"Einaudi (Supercoralli)",[2019-09-xx],,,,"Finito nel 25 dic 2020, 00:00:00",4,
[9788858117491],"Il Medioevo raccontato da Jacques Le Goff",,"Jacques Le Goff",Paperback,101,Laterza,[2015-01-15],,,,"Finito nel 27 dic 2020, 00:00:00",3.5,
[9788842095552],"Conditio humana. Il rischio nell'età globale",,"Ulrich Beck",Others,412,,[xxxx-xx-xx],,,,,,
[9788860306975],"Uccideresti l'uomo grasso?","Il dilemma etico del male minore","David Edmonds",Paperback,234,"Raffaello Cortina Editore",[2014-10-xx],,,,"Finito nel 2 gen 2021, 00:00:00",5,
[9788852034527],"Sodoma e Gomorra",,"Marcel Proust",eBook,534,"A. Mondadori",[2013-04-09],,,,"Finito nel 5 feb 2021, 00:00:00",5,
[9788823511040],"Come Proust può cambiarvi la vita",,"Alain de Botton",Hardcover,194,"Guanda (Sogni)",[2014-11-xx],,,,"Finito nel 24 gen 2021, 00:00:00",3.5,
[9788893610681],"La mano destra della storia","La demolizione della memoria e il problema storiografico in Sardegna","Fiorenzo Caterini",Paperback,283,"Carlo Delfino editore",[2017-11-xx],,,,,,
[9788806173661],"Breve storia della musica",,"Massimo Mila",Others,484,Einaudi,[2005-01-01],,,,,,
[9788871387048],"Colpi di scure e sensi di colpa","Storia del disboscamento della Sardegna dalle origini a oggi","Fiorenzo Caterini",Paperback,286,"Carlo Delfino",[2013-07-xx],,,,"Finito nel 7 feb 2021, 00:00:00",4,
[9788859300373],"Nuovi lineamenti di economia politica",,"Marcella Corsi",Paperback,373,Laterza,[2017-03-02],,,,"Finito nel 29 mar 2021, 00:00:00",4,
[9788811678441],"Come sono diventato stupido",,"Martin Page",Paperback,122,Garzanti,[2005-01-01],,,,"Finito nel 12 feb 2021, 00:00:00",2,
[9788845903045],"Lettere alla fidanzata","Con una testimonianza di Ophélia Queiroz","Fernando Pessoa",Paperback,124,"Adelphi (Piccola Biblioteca, 218)",[1988-09-01],,,,,,
[9788815082862],"L'economia dell'informazione","Modelli, applicazioni, sviluppi","Marco Ziliotti",Others,,"Il Mulino",[2001-01-01],,,,"Finito nel 27 apr 2021, 00:00:00",4,
[9788804623380],"Alla ricerca del tempo perduto vol. 5","La prigioniera","Marcel Proust",Paperback,471,"Arnoldo Mondadori (Oscar scrittori moderni)",[2012-xx-xx],,,,"Finito nel 27 feb 2021, 00:00:00",5,
[9788852034541],"Albertine scomparsa",,"Marcel Proust",eBook,285,"A. Mondadori",[2013-04-09],,,,"Finito nel 11 mar 2021, 00:00:00",5,
[9788804623373],"Alla ricerca del tempo perduto vol. 7","Il tempo ritrovato","Marcel Proust",Paperback,456,"Arnoldo Mondadori (Oscar scrittori moderni)",[2012-xx-xx],,,,"Finito nel 20 mar 2021, 00:00:00",5,
[9788843014798],"Fondamenti di politica economica","Valori e tecniche","Nicola Acocella",Others,,Carocci,[1999-01-01],,,,"In lettura dal 27 apr 2021, 00:00:00",,
[9788851521073],Proust,"L'opera, la vita, la critica","Jean-Yves Tadié","Mass Market Paperback",335,Net,[2003-01-01],,,,,,
[9788811668213],"Quer pasticciaccio brutto de via Merulana",,"Carlo Emilio Gadda",Paperback,275,Garzanti,[1997-01-01],,,,"Finito nel 4 apr 2021, 00:00:00",5,
[9788851161590],"Alberi sapienti, antiche foreste","Come guardare, ascoltare e avere cura del bosco","Daniele Zovi",eBook,304,UTET,[2018-04-24],,,,"Finito nel 24 mar 2021, 00:00:00",5,
[9788842825166],"Dieci ragioni per cancellare subito i tuoi account social",,"Jaron Lanier",Paperback,160,"Il Saggiatore",[2018-06-xx],,,,,,
,"Sulla lettura",,"Marcel Proust",Others,90,Mondadori,[1995-09-01],,,,"Finito nel 6 apr 2021, 00:00:00",5,
[9788843084685],"Gadda. Guida al Pasticciaccio",,"Maria Antonietta Terzoli",Paperback,158,"Carocci (Le Bussole)",[2016-10-27],,,,"Finito nel 23 apr 2021, 00:00:00",4,
[9788809865709],"Shinrin yoku","Ritrovare il benessere con l'arte giapponese del bagno nella foresta","Annette Lavrijsen",Paperback,192,Giunti,[2018-xx-xx],,,,,,
[9788845973604],"Todo modo",,"Leonardo Sciascia",eBook,121,"Adelphi eBook",[2014-05-14],,,,"Finito nel 13 apr 2021, 00:00:00",5,
[9788827901236],"Distributed ledger technologies e sistemi di Blockchain","digital currency, smart contract e altre applicazioni","Maria Letizia Perugini",Paperback,246,"Key Editore",[2018-06-26],,,,,,
[9788804567028],Solaris,,"Stanislaw Lem",Paperback,234,"Arnoldo Mondadori (Oscar Classici Moderni, 207)",[2007-02-01],,,,"Finito nel 18 apr 2021, 00:00:00",5,
[9788852091360],"Illuminismo adesso","In difesa della ragione, della scienza, dell'umanesimo","Steven Pinker",eBook,622,Mondadori,[2018-11-20],,,,,,
[9781843763314],"Technological Revolutions and Financial Capital","The Dynamics of Bubbles and Golden Ages","Carlota Perez",Paperback,224,"Edward Elgar Pub",[2003-04-01],,,,,,
,"Gita al Faro",,"Virginia Woolf",Hardcover,222,"La biblioteca di Repubblica",[2005-01-01],,,,"Finito nel 1 mag 2021, 00:00:00",5,
